osm_id,amenity,name,bank,address,lat,lon,opening_hours,currency,network
1821193913,bank,Халк банк (Народный банк),Xalq banki,,41.3584477,69.2886882,Mo-Fr 09:00-17:00,,
4233986990,bank,Asakabank,Asakabank,,41.3624173,69.2871169,Mo-Fr 09:00-18:00,,
4409156291,bank,Давр банк Юнусабадский филиал,XATB “DAVR BANK” Yunusobod tuman filiali,,41.3690319,69.2824439,"Mo-Fr 09:00-13:00,14:00-17:00",,
4416260799,bank,Aloqabank Kassa,Aloqabank Kassa,,41.3743262,69.306894,,,
4478270089,atm,Turon Telecom,Turon Telecom,,41.3748229,69.2988445,Mo-Su 10:00-21:00,,
4550550895,bank,Ipoteka Bank,Unknown,,41.3679599,69.2922756,,,
4647056692,bank,Kapital bank,Unknown,,41.3674172,69.2919991,,,
4659411639,bank,Hamkorbank,Hamkorbank,,41.3639473,69.2858434,"Mo-Fr 09:00-12:30,13:30-17:00",,
4717102914,atm,ATM,Unknown,,41.3331362,69.2609006,,,
4832603824,bank,Узпромстройбанк - Касса №5,UzSanoatQurilishbank kassa 5,,41.3666024,69.2877682,,,
4832603825,bank,Касса №15 Ипотекабанка,Ipateka kassa 15,,41.3678537,69.2915221,,,
4832603826,bank,Касса,Касса,,41.3612755,69.3045446,,,
4832603830,bank,LOMBARD KOD №29,LOMBARD KOD №29,,41.3677577,69.2938857,,,
4832603835,bank,Turon bank mini,Turon bank mini,,41.3649863,69.2876326,,,
4832621823,bank,Barkamol kassa,Barkamol kassa,,41.364914,69.288027,,,
4832621922,bank,PSB kassa N:1,PSB kassa N:1,,41.3731288,69.2956683,,,
4832622022,bank,Ипотека камунал касса 6,Ипотека камунал касса 6,,41.37141,69.2828322,Mo-Fr 09:00-18:00,,
4832625022,bank,Xalq bank kassa,Xalq bank kassa,,41.3653998,69.285729,,,
4832625121,bank,Ипотекабанк - Касса №40,Ipotekabank kassa 40,,41.3665665,69.2876768,,,
5045250022,bank,Халк банк,Xalq banki,,41.3634742,69.28904,Mo-Fr 09:00-17:00,,
5268445021,atm,Банкомат на Юнусабадском базаре,Unknown,,41.3639912,69.290124,,,
5301581927,bank,Asaka bank,Асака банк,,41.3514516,69.28714,,,
5301585222,bank,Buyuk Ipak Yo‘li,Буюк Ипак йули,,41.3627638,69.2882487,,,
5350221327,bank,ATM,Unknown,,41.3671459,69.2913887,,,
5485940363,atm,ATM,Unknown,,41.3671007,69.2910933,24/7,,
5645478522,bank,ATM,Unknown,,41.351696,69.2885128,,,
5848073287,atm,ATM,Unknown,,41.3339645,69.3020418,24/7,,
6012407493,atm,Ipak Yo‘li Bank,Ipak Yo‘li Bank,,41.363548,69.2887494,24/7,,
6138661683,atm,IpotekaBank,IpotekaBank,,41.3669084,69.2911847,,,
6219690378,atm,OFB,OFB,,41.3327745,69.283731,24/7,yes,Orient Finans Bank
6297519640,atm,Asia Alliance Bank,Asia Alliance Bank,,41.3664184,69.2864658,24/7,,
6505271685,atm,хамкор Банк,хамкор Банк,,41.3637761,69.2976758,Mo-Sa 09:00-18:00,,
6541390986,atm,Юнусабадский центр банковских услуг,Юнусабадский центр банковских услуг,,41.3662339,69.2858109,24/7,,
6541668885,bank,Agrobank,Агробанк,,41.3658381,69.2857194,,,
6541669285,atm,агробанк,агробанк,,41.3658386,69.2857591,,,
7820752887,bank,Orient Finans Bank Юнусабад,Orient Finans Bank Юнусабад,,41.3329178,69.2837801,"Mo-Fr 09:00-13:00, 14:00-18:00",,
10173385798,atm,Savdogarbank,Savdogarbank,,41.3474942,69.286753,,,
11187981644,atm,Юнусабадский центр банковских услуг,Юнусабадский центр банковских услуг,,41.3609751,69.2777842,24/7,,
11187981655,atm,Шахристанский центр банковских услуг,Шахристанский центр банковских услуг,,41.3534733,69.2969781,24/7,,
11385588906,atm,IPAK YO'LI BANKI,IPAK YO'LI BANKI,,41.3349194,69.2650491,24/7,,
11385588920,atm,IPAK YO'LI BANKI,IPAK YO'LI BANKI,,41.350856,69.2883843,24/7,,
11385588928,atm,IPAK YO'LI BANKI,IPAK YO'LI BANKI,,41.3744842,69.2959416,24/7,,
11385588958,atm,IPAK YO'LI BANKI,IPAK YO'LI BANKI,,41.3408644,69.2933142,24/7,,
11385595724,atm,ATM,Ipak Yoli banki,,41.3381256,69.2728383,24/7,,
11385595731,atm,ATM,Ipak Yoli banki,,41.3714788,69.3111723,24/7,,
11385595732,atm,ATM,Ipak Yoli banki,,41.3373523,69.2837333,24/7,,
11385595740,atm,ATM,Ipak Yoli banki,,41.3723644,69.311564,24/7,,
11385595741,atm,ATM,Ipak Yoli banki,,41.3346616,69.286201,24/7,,
11428455677,bank,Халк банк (Народный банк),Xalq banki,,41.3651682,69.2918739,"Mo-Fr 09:00-13:00,14:00-17:00",,
11455259098,bank,Tenge Bank,Tenge Bank,,41.3647354,69.2860831,Mo-Fr 09:00-17:00,,
11505719173,atm,IPAK YO'LI BANKI,IPAK YO'LI BANKI,,41.3744698,69.3050784,24/7,,
11510417522,atm,ATM,Unknown,,41.3345287,69.2850718,24/7,,
11510417524,atm,ATM,Unknown,,41.3349718,69.286142,24/7,,
11510417526,atm,ATM,Unknown,,41.3717123,69.3118911,Mo-Su 08:00-24:00,,
11510417536,atm,ATM,Unknown,,41.3718129,69.3109311,Mo-Su 09:00-24:00,,
11510417558,atm,ATM,Unknown,,41.3656856,69.294607,Mo-Su 09:00-21:00,,
11510417567,atm,ATM,Unknown,,41.3385807,69.2720496,Mo-Su 09:00-19:00,,
11510417568,atm,ATM,Unknown,,41.3626579,69.2881187,Mo-Su 09:00-21:00,,
11672276339,atm,IPAK YO'LI BANKI,IPAK YO'LI BANKI,,41.3730126,69.2727042,24/7,,
11672276357,atm,ATM,Ipak Yoli banki,,41.3413094,69.2686272,24/7,,
11791651171,atm,ATM,Unknown,,41.3723966,69.3116819,Mo-Su 08:00-00:00,,
11811558769,atm,Kapitalbank,Kapitalbank,,41.331317,69.2765674,24/7,,
11925690880,atm,ATM,Ipak Yoli banki,,41.3455986,69.2612055,24/7,,
11925690921,atm,ATM,Ipak Yoli banki,,41.3714426,69.3193745,24/7,,
11925690924,atm,ATM,Ipak Yoli banki,,41.3691277,69.2659141,24/7,,
11925690925,atm,ATM,Ipak Yoli banki,,41.3636584,69.2738816,24/7,,
11925690928,atm,ATM,Ipak Yoli banki,,41.3601826,69.2804203,24/7,,
11987707271,atm,Гарант банк,Гарант банк,,41.3636041,69.2885533,24/7,,
12141589096,bank,Ipak Yo'li banki,Ipak Yo'li banki,,41.3456147,69.2612323,24/7,,
12141775505,atm,ATM,Unknown,,41.3634269,69.2875984,24/7,,
12176287001,atm,Orient Finans Bank (OFB),Orient Finans Bank (OFB),,41.361266,69.2897211,24/7,,
12211156670,bank,НБУ,НАЦИОНАЛЬНЫЙ БАНК ВЭД РУ,,41.3674746,69.2883589,Mo-Fr 09:00-17:00,,
12450633203,atm,AVO,AVO,,41.3716421,69.3111385,Mo-Su 10:00-22:00,,
13316875009,bank,Hamkor Bank,Hamkorbank,Янгишахар улица,41.3636852,69.2978927,Mo-Fr 08:00-18:00; Sa 09:00-12:00,,
